operator_alias,Alias
7S Oil and Gas LLC,7S Oil
Abraxas,AXAS
ABRAXAS PETROLEUM,AXAS
Accelerate Resources Holdings LLC,ACCELEREATE
Admiral Permian Resources LLC,ADMIRAL PERMIAN
Advance Energy Partners LLC,AEP
Adventure Exploration Partners III LLC,ADVENTURE
ADVENTURE OPERATING,ADVENTURE
Aghorn Oil & Gas Inc,AGHORN
AJAX ENERGY,AJAX
Ajax Resources LLC,AJAX
Amazing Energy Oil and Gas Co,AMAZING ENERGY
Ameredev II LLC,AMEREDEV
ANADARKO,APC
Anadarko,APC
Antares Energy Ltd,ANTARES
Anthem Oil and Gas Inc,ANTHEM OIL
ANTLE OPERATING,ANTLE
APACHE,APA
Apache,APA
APC WATER HOLDINGS 1,APC
APPROACH OPERATING,AREX
Approach Resources Inc,AREX
Arabella Exploration Inc,ARABELLA
ARES ENERGY,ARES
Ares Energy Ltd,ARES
Arkoma Drilling LP,ARKOMA
Artifex Energy Inc,ARTIFEX
ASCENT ENERGY,ASCENT
Atlantic Exchange Properties LLC,ATLANTIC
ATLANTIC EXPLORATION,ATLANTIC
Atlantic Resources Company,ATLANTIC
ATMOS ENERGY CORP  MID-TEX DIV,ATMOS
ATMOS PIPELINE - TEXAS,ATMOS
ATOKA OPERATING,ATOKA
ATOKA OPERATING PERMIAN,ATOKA
ATROPOS PRODUCTION,ATROPOS
Aurora Energy Partners LLC,AURORA ENERGY
AVAD Energy Partners LLC,AVAD ENERGY
Axia Energy II LLC,AXIA ENERGY
BANNER OPERATING,BANNER
Banner Resources LLC,BANNER
Basin Oil & Gas,BASIN OIL
BASIN OPERATING,BASIN
Bayou City Energy LP,BAYOU CITY
Bayport International Holdings Inc,BAYPORT INTERNATIONAL
Beacon E&P Company II,BEACON
BEACON E&P RESOURCES,BEACON
BHP BILLITON,BHP
BHP Billiton,BHP
Big Hatchet LLC,BIG HATCHET
Black Mountain Oil & Gas II LLC,BLACK MOUNTAIN
BLACK RIVER WATER MGMT,BLACK RIVER
Black Stone Minerals Company LP,BLACK STONE
BLACKBEARD OPERATING,BLACKBEARD
Blackbeard Operating LLC,BLACKBEARD
Blacksands Petroleum Inc,BLACKSANDS PETROLEUM
BlueStone Natural Resources II LLC,BLUESTONE NATURAL
Boaz Energy II LLC,BOAZ ENERGY
BOLD OPERATING,BOLD
BORDERLINE OPERATING,BORDERLINE
BOYD&MCWILLIAMS ENERGY GROUP,BOYD
Breitling Energy Corp,BREITLING ENERGY
Bristlecone Energy Partners LLC,BRISTLECONE ENERGY
Bro Energy LLC,BRO ENERGY
BTA OIL,BTA
BTA Oil Producers LLC,BTA
BULLET DEVELOPMENT,BULLET
Burleson Petroleum Inc,BURLESON PETROLEUM
C&L OIL,C&L
Callaghan 320 Trust,CALLAGHAN 320 TRUST
CALLAN OPERATING,CALLAN
Callon,CPE
CALLON PETROLEUM,CPE
CAMBRIAN MANAGEMENT,CAMBRIAN
Canela Petro LP,CANELA PETRO
CAPITAN ENERGY,CAPITAN
Capitan Energy Corp,CAPITAN
CAPSTONE NATURAL RESOURCES,CAPSTONE
Capstone Natural Resources II LLC,CAPSTONE NATURAL
Carnes Natural Gas Ltd,CARNES NATURAL
Carrera Energy LLC,CARRERA ENERGY
Carrier Energy Partners II LLC,CARRIER ENERGY
Carrizo,CRZO
CARRIZO (PERMIAN),CRZO
Castell Oil Co,CASTELL OIL
Caza Oil & Gas Inc,CAZA OIL
Centennial Resource Development Inc,CDEV
CENTENNIAL RESOURCE PROD,CDEV
CEP Minerals LLC,CEP MINERALS
Charger Shale Oil Co LLC,CHARGER SHALE
Chase Oil Corp,CHASE OIL
CHEVRON,CVX
Chevron,CVX
Chi Partners LLC,CHI PARTNERS
Chisholm Energy Holdings LLC,CHISHOLM
CHISHOLM ENERGY OPERATING,CHISHOLM
"CHISHOLM ENERGY OPERATING, LLC",CHISHOLM
CHOLLA PETROLEUM,CHOLLA
Cholla Petroleum Inc,CHOLLA
CIMAREX,XEC
Cimarex,XEC
CINNABAR OPERATING,CINNABAR
Citation Oil & Gas Corp,CITATION OIL
Clear Creek E&P LLC,CLEAR CREEK
Clearfork Resources LLC,CLEARFORK RESOURCES
COG PETROLEUM,CXO
Colgate Energy LLC,COLGATE ENERGY
Common Resources III LLC,COMMON RESOURCES
CONCHO O&G,CXO
Concho Resources Inc,CONCHO RESOURCES
CONOCOPHILLIPS,COP
ConocoPhillips,COP
Conquistador Exploration Inc,CONQUISTADOR EXPLORATION
Contango,CONTANGO
Cooper Oil & Gas LLC,COOPER OIL
Corlena Oil Company III LLC,CORLENA OIL
Cosmo Energy LLC,COSMO ENERGY
COVENANT OPERATING,COVENANT
CPI OPERATING,CPI
CPP WI Holding Co LLC,CPP WI
CRAIG BOB,CRAIG BOB
Cross Timbers Energy LLC,CROSS TIMBERS
Crossing Rocks Energy LLC,CROSSING ROCKS
Crown Oil Partners V LP,CROWN OIL
CROWNQUEST OPERATING,CROWNQUEST
CrownRock LP,CROWNROCK LP
Crump Energy Partners II LLC,CRUMP ENERGY
CUSTER&WRIGHT OPERATING,CUSTER&WRIGHT
CXA Oil & Gas Holdings LP,CXA OIL
DEEP GULLY OIL,DEEP GULLY
Delaware Basin Resources LLC,DELAWARE BASIN
Development Capital Resources LP,DEVELOPMENT CAPITAL
DEVON,DVN
Devon Energy,DVN
DIAMONDBACK E&P,FANG
Diamondback Energy,FANG
DISCOVERY NATURAL RESOURCES,DISCOVERY
Discovery Natural Resources LLC,DISCOVERY
Discovery Operating Inc,DISCOVERY OPERATING
"Dorchester Minerals, L.P. (fka D. Hugoton)",DORCHESTER MINERALS
Double Eagle Energy Holdings III LLC,DOUBLE EAGLE
DRAKE PETR,DRAKE
Driftwood Energy Partners LLC,DRIFTWOOD ENERGY
DRY FORK PRODUCTION,DRY FORK
EAGLE HYDROCARBONS,EAGLE HYD
Eagle Oil & Gas Co,EAGLE OIL
Eagle Permian Partners LLC,EAGLE PERMIAN
EAGLERIDGE OPERATING,EAGLERIDGE
Earthstone Energy Inc,ESTE
El Dorado Resources LLC,EL DORADO
Element Petroleum III,ELEMENT PETROLEUM
ELEVATION RESOURCES,ELEVATION
Elevation Resources LLC,ELEVATION RESOURCES
Elite Group LLC,ELITE GROUP
Elk Meadows Resources LLC,ELK MEADOWS
ELK RIVER RESOURCES,ELK RIVER
Elk River Resources LLC,ELK RIVER
ENCANA,ECA
EnCana,ECA
EnCore Permian Holdings LP,ENCORE PERMIAN
ENDEAVOR ENERGY RESOURCES,ENDEAVOR
Endeavor Energy Resources LP,ENDEAVOR
Enduro Resource Partners LLC,ENDURO RESOURCE
ENERGEN,EGN
Energen,EGN
Energy Hunter Resources Inc,ENERGY HUNTER
ENERVEST,ENERVEST
EnerVest Management Partners,ENERVEST
ENI,ENI
ENVIRONMENTAL DISPOSAL SYSTEMS,ENVIRONMENTAL
EOG,EOG
EOG RESOURCES,EOG
EOG Y RESOURCES,EOG
EP ENERGY,EPE
EP Energy Corp,EPE
Epic Permian Resources,EPIC PERMIAN
EQT Corporation,EQT
EXL PETROLEUM,EXL PET.
ExL Petroleum Management LLC,EXL PET.
ExxonMobil,XTO
Fairmount Energy,FAIRMOUNT ENERGY
FASKEN,FASKEN
Fasken Land and Minerals Ltd,FASKEN
FDL OPERATING,FDL
FELIX ENERGY HOLDINGS II,FELIX
Felix Energy II,FELIX
FELIX WATER,FELIX
FieldPoint Petroleum Corp,FIELDPOINT PETROLEUM
Fifth Natural Resources LLC,FIFTH NATURAL
FINLEY RESOURCES,FINLEY
FLAG Development LLC,FLAG DEVELOPMENT
FLAGCO ENERGY,FLAGCO
Flamingo Permian Oil & Gas LLC,FLAMINGO PERMIAN
Flatland Mineral Fund LP,FLATLAND MINERAL
Fleur de Lis Energy LLC,FLEUR DE
Foreland II LLC,FORELAND II
Foreland Investments LP,FORELAND INVESTMENTS
FORGE' ENERGY,FORGE
Forge Energy LLC,FORGE
Fort Worth Mineral Co,FORT WORTH
Fortis Minerals II LLC,FORTIS MINERALS
Forty Acres Energy LLC,FORTY ACRES
Founders Oil and Gas LLC,FOUNDERS OIL
Four Corners Petroleum II LLC,FOUR CORNERS
FOUR H OIL PROPERTIES,FOUR H
Franco Nevada Corp,FRANCO NEVADA
FSE Partners I LLC,FSE PARTNERS
Fulucai Productions Ltd,FULUCAI PRODUCTIONS
Gary Permian LLC,GARY PERMIAN
GE Energy Financial Services,GE ENERGY
GOODNIGHT MIDSTREAM PERMIAN,GOODNIGHT
GoodRock Natural Resources LLC,GOODROCK NATURAL
Gordy Oil Co,GORDY OIL
GP II Energy Inc,GP II
GRACE 7 OPERATING,GRACE 7
Grenadier Energy Partners II,GRENADIER ENERGY
Greystone Petroleum LLC,GREYSTONE PETROLEUM
Guidon Energy,GUIDON
GUIDON ENERGY MGMT SERVICES,GUIDON
HAIMO O&G,HAIMO
HALCON RESOURCES,HK
Halcon Resources Corp,HK
Hanley Petroleum Inc,HANLEY PETROLEUM
HANNATHON PETROLEUM,HANNATHON
HARMONIA PETROLEUM,HARMONIA
Hatfield Oil & Gas Properties LLC,HATFIELD OIL
Hawkins Exploration Inc,HAWKINS EXPLORATION
"HEADINGTON ENERGY PARTNERS, LLC",HEADINGTON
"HEADINGTON ENERGY PARTNERS, LLC",HEADINGTON
HENRY PETROLEUM,HENRY PET.
Henry Resources LLC,HENRY PET.
HGN OPERATING I,HGN
Hibernia Energy III LLC,HIBERNIA ENERGY
Hilcorp Energy Development LP,HILCORP ENERGY
Hillman Exploration and Production LLC,HILLMAN EXPLORATION
HILLSTONE DACO PERMIAN,HILLSTONE
Houston American Energy,HOUSTON AMERICAN
HTA Minerals LLC,HTA MINERALS
Hunt Oil,HUNT
HUNT OIL COMPANY,HUNT
ICA Energy LLC,ICA ENERGY
ImPetro Resources LLC,LILIS
Independence Resources Management LLC,INDEPENDENCE
INDEPENDENCE RESOURCES MGMT,INDEPENDENCE
International Western Petroleum Corp,INTERNATIONAL WESTERN
INTERSTATE EXPLORATIONS,INTERSTATE
Invictus Energy LLC,INVICTUS ENERGY
IOG Capital LP,IOG CAPITAL
Ivory Energy LLC,IVORY ENERGY
J CLEO THOMPSON,JCLEO
J Cleo Thompson,JCLEO
J O C OPERATING,JOC OP
JAGGED PEAK ENERGY,JAG
Jagged Peak Energy Inc,JAG
JETTA PERMIAN,JETTA
Jetta Permian LP,JETTA
JLA RESOURCES COMPANY,JLA
JOINT RESOURCES COMPANY,JOINT RES.
Juno Energy III LLC,JUNO ENERGY
KA Henry II,KA HENRY
Kerogen Energy Holdings LLC,KEROGEN ENERGY
Kimbell Royalty Group LLC,KIMBELL ROYALTY
KINDER MORGAN TEJAS PIPELINE,KINDER MORGAN
KLM Petroleum Corp,KLM PETROLEUM
KNR Resource Holdings I LP,KNR RESOURCE
KOCH EXPLORATION COMPANY,KOCH
L C S PRODUCTION COMPANY,LCS 
La Escalera LP,LA ESCALERA
LAKOTA ENERGY,LAKOTA
LANDMASTER PARTNERS,LANDMASTER
LAREDO PETROLEUM,LPI
Laredo Petroleum Inc,LPI
Lariat Resources LLC,LARIAT RESOURCES
Lario Oil & Gas Co,LARIO
LARIO OIL&GAS,LARIO
LAYLINE PETROLEUM I,LAYLINE PETROLEUM I
Legacy Reserves LP,LEGACY
LEGACY RESERVES OPERATING,LEGACY
Lilis Energy Inc,LILIS
Linn Energy LLC,LINN ENERGY
Llano Energy LLC,LLANO ENERGY
Lone Star Production Company,LONE STAR
Longfellow Energy LP,LONGFELLOW ENERGY
LongPoint Minerals LLC,LONGPOINT MINERALS
Luxe Energy II LLC,LUXE
Luxe Minerals LLC,LUXE
M E OPERATING&SERVICES,M E OPERATING&SERVICES
MACK ENERGY,MACK ENERGY
Mack Energy Corp,MACK ENERGY
Macquarie Americas Corp,MACQUARIE AMERICAS
Mammoth Exploration LLC,MAMMOTH EXPLORATION
Manti Tarka Permian LP,MANTI TARKA
Manzano Energy Partners III LLC,MANZANO ENERGY
Marathon,MRO
MARATHON OIL PERMIAN,MRO
MARSHALL R YOUNG OIL,MARSHALL R YOUNG OIL
MATADOR PRODUCTION COMPANY,MTDR
Matador Resources Company,MTDR
Maven Royalty Partners LLC,MAVEN ROYALTY
Maverick Natural Resources LLC,MAVERICK NATURAL
Mavros Minerals II LLC,MAVROS MINERALS
MCCLURE OIL COMPANY,MCCLURE OIL COMPANY
MCM Energy Partners LLC,MCM ENERGY
McRae & Henry Ltd,MCRAE &
MDC Texas Energy LLC,MDC TEXAS
MECO IV LLC,MECO IV
MERCURY OPERATING,MERCURY OPERATING
MEWBOURNE,MEWBOURNE
Mewbourne Oil Company,MEWBOURNE
Mid-Con Energy Partners LP,MID-CON
Momentum Minerals LLC,MOMENTUM MINERALS
Monadnock Resources,MONADNOCK RESOURCES
Mongoose Energy LLC,MONGOOSE ENERGY
Moriah Henry Partners LLC,MORIAH HENRY
MorningStar Partners LP,MORNINGSTAR PARTNERS
MTM Petroleum LLC,MTM PETROLEUM
Multi-corp International Inc,MULTI-CORP
Murchison Oil and Gas,MURCHISON OIL
Murphy,MUR
NA,NA
Nautilus Energy LLC,NAUTILUS ENERGY
Navigator Oil and Minerals Inc,NAVIGATOR OIL
NBL PERMIAN,NBL
Nearburg Exploration Co LLC,NEARBURG
NEARBURG PRODUCING COMPANY,NEARBURG
New Dawn Energy LLC,NEW DAWN
NEWPORT OPERATING,NEWPORT OPERATING
NGL WATER SOLUTIONS PERMIAN,NGL WATER SOLUTIONS PERMIAN
Noble Energy,NBL
NorthStar Operating Co,NORTHSTAR OPERATING
NORTHSTAR OPERATING COMPANY OF TEXAS,NORTHSTAR OPERATING
Novo Oil & Gas LLC,NOVO OIL
Oasis Petroleum Inc,OAS
Ocean JV GP LLC,OCEAN JV
OGX Holding III LLC,OGX HOLDING
OIE Cochran JV LP,OIE COCHRAN
OIE Winkler JV LP,OIE WINKLER
Olifant Energy LLC,OLIFANT ENERGY
OLSEN ENERGY,OLSEN ENERGY
OneEnergy Partners LLC,ONEENERGY
ONEENERGY PARTNERS OPERATING,ONEENERGY
Opal Resources II LLC,OPAL RESOURCES
Opal Resources LLC,OPAL RESOURCES
Oxy,OXY
OXY USA,OXY
Ozark Exploration Inc,OZARK EXPLORATION
P4 Oil & Gas LLC,P4 OIL
PAK Development LLC,PAK DEVELOPMENT
PALADIN OPERATING,PALADIN OPERATING
Panhandle,PANHANDLE
Parsley Energy LP,PE
PARSLEY ENERGY OPERATIONS,PE
PATRIOT PETROLEUM,PATRIOT PETROLEUM
PATTON E N OIL,PATTON E N OIL
PCORE EXPL & PROD II,PCORE
PCORE Exploration & Production II LLC,PCORE
PDC,PDCE
PDC PERMIAN,PDCE
Peak Exploration & Production LLC,PEAK EXPLORATION
PEDERNALES PRODUCTION,PEDERNALES PRODUCTION
Penroc Oil Corp,PENROC OIL
Percussion Petroleum LLC,PERCUSSION PETROLEUM
Periscope Operating LLC,PERISCOPE OPERATING
PERMIAN DEEP ROCK OIL CO,PERMIAN DEEP
PETEX,PETEX
Petroflow Energy Corp,PETROFLOW ENERGY
PETROLEGACY ENERGY II,PETROLEGACY ENERGY
PetroLegacy Energy II LLC,PETROLEGACY ENERGY
Petrolia Energy Corp,PETROLIA ENERGY
Pheasant Energy LLC,PHEASANT ENERGY
Piedra Energy III LLC,PIEDRA ENERGY
PIONEER,PXD
Pioneer,PXD
Plantation V,PLANTATION V
Pogo Oil & Gas LLC,POGO OIL
Ponderosa Petroleum Co Inc,PONDEROSA PETROLEUM
Prime Rock Resources LLC,PRIME ROCK
PrimeEnergy Corp,PRIMEENERGY CORP
Primexx Energy Partners Ltd,PRIMEXX
PRIMEXX OPERATING,PRIMEXX
Prize Fighter Oil & Gas LLC,PRIZE FIGHTER
Project Caprock,PROJECT CAPROCK
Providence Energy Operators LLC,PROVIDENCE ENERGY
PT PETROLEUM,PT PETROLEUM
PT Petroleum LLC,PT PETROLEUM
PURVIS OIL,PURVIS
PV OIL SERVICES,PV OIL SERVICES
QEP ENERGY COMPANY,QEP
QEP Resources Inc,QEP
RAM Energy LLC,RAM ENERGY
RBJ & ASSOC,RBJ & ASSOC
RCPTX Ltd,RCPTX LTD
Red Willow Production Co,RED WILLOW
Redhawk Resources LLC,REDHAWK RESOURCES
RELIANCE ENERGY,RELIANCE
Resolute Energy Corporation,REN
RESOLUTE NATURAL RES,REN
Riley Exploration Group,RILEY EXPLORATION
RILEY EXPLORATION OPG,RILEY EXP
RILEY PERMIAN OPERATING CO,RILEY EXP
Ring Energy Inc,RING ENERGY
Rio Oil and Gas II LLC,RIO OIL
Riverbend Oil & Gas VII LLC,RIVERBEND OIL
Riverbend Permian II,RIVERBEND PERMIAN
RKI EXPLORATION&PRODUCTION,RKI
Rock Eagle Ranch Corp,ROCK EAGLE
Rock Ridge Royalty Co LLC,ROCK RIDGE
Rockcliff Energy II LLC,ROCKCLIFF ENERGY
ROCKER A OPERATING,ROCKER A OPERATING
ROG ENTERPRISES,ROG ENTERPRISES
Romine Oil & Gas,ROMINE OIL
ROSEHILL OPERATING,ROSE
Rosehill Resources Inc,ROSE
ROSETTA RESOURCES,NBL
Rover Petroleum LLC,ROVER PETROLEUM
ROXO Energy Co LLC,ROXO ENERGY
RSP PERMIAN,RSPP
RUGER PROPERTIES,RUGER PROPERTIES
Rusk Capital Management LLC,RUSK CAPITAL
Sabalo Energy LLC,SABALO
SABALO OPERATING,SABALO
SABALO OPERATING,SABALO
Saber Oil & Gas Ventures LLC,SABER OIL
Sabinal Energy LLC,SABINE OIL
Sabine Oil & Gas Corp,SABINE OIL
SABLE PERMIAN RESOURCES LAND,SABLE PERMIAN
Sable Permian Resources LLC,SABLE PERMIAN
SAGUARO PETR,SAGUARO PETR
Salt Creek Production Inc,SALT CREEK
Santa Elena Minerals IV LP,SANTA ELENA
Santa Elena Minerals LP,SANTA ELENA
Saxet I Minerals,SAXET I
Saxet II Minerals LLC,SAXET II
SBJ OIL&GAS,SBJ OIL&GAS
Scala Energy,SCALA
SCALA ENERGY OPERATING,SCALA
SCHENK OIL,SCHENK OIL
Scout Energy Partners,SCOUT ENERGY
SEM OPERATING COMPANY,SEM OPERATING
Sequel Energy Group LLC,SEQUEL ENERGY
Sequitur Energy Resources LLC,SEQUITUR ENERGY
SHARP IMAGE ENERGY,SHARP IMAGE ENERGY
SHBL Management Inc,SHBL MANAGEMENT
Shell,RDSA
SHELL OIL,RDSA
SHENANDOAH ENERGY,SHENANDOAH ENERGY
SHERIDAN PRODUCTION COMPANY,SHERIDAN
Sheridan Production Partners,SHERIDAN
Silver Creek Oil & Gas,SILVER CREEK
Sinochem,SINOCHEM
Slash Exploration LP,SLASH EXPLORATION
SM ENERGY,SM
SM Energy,SM
SMC Oil & Gas Inc,SMC OIL
SMITH PETROLEUM,SMITH PETROLEUM
SOJOURNER DRILLING,SOJOURNER DRILLING
SPECIAL ENERGY,SPECIAL
STAMPER OPERATING CO,STAMPER OPERATING CO
STASNEY WELL SERVICE,STASNEY
STEPHENS&JOHNSON OP,STEPHENS&JOHNSON OP
STEWARD ENERGY II,STEWARD ENERGY
Steward Energy II LLC,STEWARD ENERGY
Stout Energy,STOUT ENERGY
Strand Energy LC,STRAND ENERGY
Stronghold Energy Partners LP,STRONGHOLD ENERGY
SUMMIT,SUMMIT
Summit West Resources LP,SUMMIT
SUNDOWN ENERGY,SUNDOWN ENERGY
Sundown Energy LP,SUNDOWN ENERGY
SURGE OPERATING,SURGE
SUTHERLAND ENERGY,SUTHERLAND ENERGY
Tabula Rasa Partners LLC,TABULA RASA
Tall City Exploration II LLC,TALL CITY
TAMARACK PETROLEUM COMPANY,TAMARACK
Tap Rock Resources LLC,TAP ROCK
Target Energy Ltd,TARGET ENERGY
TCS PETROLEUM,TCS PETROLEUM
TEAKWOOD OPERATING,TEAKWOOD OPERATING
Terra Nova Energy LP,TERRA NOVA
Texas Pacific Land Trust,TEXAS PACIFIC
TEXLAND PETROLEUM,TEXLAND
Texland Petroleum LP,TEXLAND
THREE RIVERS OPER CO III,THREE RIVERS III
Tier 1 Resource Partners LLC,TIER 1 RESOURCE
Titan Rock Exploration & Production LLC,TITAN ROCK
Titus Oil & Gas LLC,TITUS OIL
TNM Resources LLC,TNM RESOURCES
Toc Energy Resources LLC,TOC ENERGY
Torchlight Energy Resources Inc,TORCHLIGHT ENERGY
TPG Special Situations Partners,TPG SPECIAL
TRACKER RESOURCE DEV III,TRACKER
TRACKER RESOURCE DEV III,TRACKER
Tracker Resource Development III LLC,TRACKER RESOURCE
Trail Ridge Energy Partners II LLC,TRAIL RIDGE
Trek Oil & Gas LLC,TREK OIL
TriGeo Energy LLC,TRIGEO ENERGY
TRILOGY OPERATING,TRILOGY
Trilogy Operating Inc,TRILOGY OPERATING
Triple Crown Resources LLC,TRIPLE CROWN
TRP Energy LLC,TRP ENERGY
Two Pak Development,TWO PAK
Unitex Oil and Gas LLC,UNITEX OIL
UpCurve Energy,UPCURVE ENERGY
Urban Oil & Gas Group LLC,URBAN OIL
US Energy Development Corp,US ENERGY
Vanguard Natural Resources LLC,VANGUARD NATURAL
Vendera Resources III LP,VENDERA RESOURCES
Vermilion Cliffs Partners,VERMILION CLIFFS
VETERAN EXPL & PROD,VETERAN EXPL & PROD
V-F PETROLEUM,V-F PET
Vickers Production Co LLC,VICKERS PRODUCTION
Viper Energy Partners LP,VIPER ENERGY
VX OPERATING,VX OPERATING
WAGGONER ESTATE,WAGGONER ESTATE
Ward I LLC,WARD I
Waveland Resource Partners II LP,WAVELAND RESOURCE
WFW PRODUCTION COMPANY,WFW PRODUCTION COMPANY
White Rock Oil and Gas LLC,WHITE ROCK
Whitehorse Energy LLC,WHITEHORSE ENERGY
WILLIAMS OIL,WILLIAMS OIL
Williams WTX LP,WILLIAMS WTX
WINCHESTER ENERGY,WINCHESTER ENERGY
Winchester Energy LLC,WINCHESTER ENERGY
Windy Cove Energy II LLC,WINDY COVE
Wishbone Energy Partners,WISHBONE ENERGY
WISHBONE O&G,WISHBONE O&G
Wolfbone Ranch Partners LLC,WOLFBONE RANCH
Wolverine Gas and Oil Corp,WOLVERINE GAS
WPX Energy Inc,WPX
Wyatt Energy Inc,WYATT ENERGY
Wynn-Crosby,WYNN-CROSBY
XTO ENERGY,XTO
Yantai Xinchao Industry Co Ltd,YANTAI XINCHAO
Y-Knot Energy LLC,Y-KNOT
YUCCA PETROLEUM,YUCCA PETROLEUM
Yuma Energy Inc,YUMA ENERGY
ZARVONA ENERGY,ZARVONA ENERGY
Zarvona Energy LLC,ZARVONA ENERGY
